399339273	400941035	495465699	495892457
402743017	402743017	357302891	359650058
406046651	406847532	219140083	221060492
294223646	301531684	646431238	659980795
485634197	486435078	469433479	469540168
546401041	547602362	385575589	386109036
852037240	855941535	525232049	533127067
453398738	458804685	807638962	826202923
70277305	70577635	385255521	386535794
109620582	111422564	308972580	310146164
155070577	155370907	228208684	228422063
654820302	659825808	616558199	618265229
188607468	193012313	354208897	358903232
369906897	370607668	197268750	200576122
407147862	408148963	493011842	497279419
423365702	423465812	578683452	579643657
499349284	500050055	642056972	656139976
292521773	292521773	380134428	381308012
386525177	387626389	548490344	549130481
460006006	460306336	520964472	521711298
935929522	946441085	545076282	547743518
227750525	230053058	211031686	211778512
364000400	364500951	252000426	252000426
482230453	483832215	611863864	613570895
532385624	534087496	592446388	593193214
875362899	876163780	529606316	530886589
233657022	234958454	364877840	369145417
172389628	173590950	262349301	262562680
248673540	253278606	212738717	213165475
373811192	377915707	161741171	166008748
407448193	407648413	499199829	500373412
95905496	96906597	325296063	325509442
335669236	336269896	168675984	173156940
367604364	367904695	135602261	138482876
368205025	369206126	186066360	186813186
804384823	808189007	626587005	628400725
256081689	256582240	371492585	371599274
288317148	288617479	404352928	404672996
359595555	360696766	294356129	294676197
484733206	485333867	547316760	548490344
468515366	469316247	207937693	212738717
657122835	661027129	662754721	663288168
147862648	150765842	263202816	263629574
173290619	176293923	152245812	152245812
179897887	180198218	499413208	499626587
447692461	451897086	277499199	281019950
574832315	577635398	378000640	381521391
361998198	362398638	15256588	16750240
463910301	464811292	495252320	495252320
825808389	825808389	512215939	514456417
290319351	290619681	509228635	512109249
301131244	301431574	279632988	281766776
381319451	381519671	94100074	94846900
427770547	429071979	309932785	316547530
501151266	513865251	625733489	638749599
721693863	721693863	348447668	358689853
225447992	226549204	236530459	236743838
321453598	321453598	235356876	236103702
484933426	485534087	598527685	599274511
600961057	601261387	403819481	412568014
178596456	179997997	217219673	217433052
239663629	240164180	236743838	236743838
289518470	292321553	298943774	301077563
310541595	311442586	496852661	497279419
478226048	482731004	447988904	453750133
483531885	485534087	460151498	466552864
885474021	886274902	538461538	541022084
138952848	140354389	240798036	241011415
449894884	451296426	396351221	397311426
491440584	493843227	250400085	252000426
218240064	219040945	170383015	172943561
233556912	236159775	355702549	356342686
439082991	440284312	188093459	188200149
439283211	441585744	201749706	206550730
462108319	463009310	598741064	598847754
321153268	323155471	409687399	411287741
324857343	326759435	104128880	104128880
397637401	399939933	344180091	347060706
401942136	403043347	425370745	426010882
407147862	407147862	135068814	135068814
